workerid,proliferate.condition,condition,error
1474,cond2,parallel_confident_cautious_confidentm,
1492,cond2,parallel_confident_cautious_confidentm,
1499,cond2,parallel_confident_cautious_confidentm,
1487,cond2,parallel_confident_cautious_confidentm,
1462,cond2,parallel_confident_cautious_confidentm,
1454,cond2,parallel_confident_cautious_confidentm,
1479,cond2,parallel_confident_cautious_confidentm,
1440,cond2,parallel_confident_cautious_confidentm,
1478,cond3,parallel_confident_cautious_confidentf,
1473,cond3,parallel_confident_cautious_confidentf,
1485,cond3,parallel_confident_cautious_confidentf,
1498,cond3,parallel_confident_cautious_confidentf,
1439,cond3,parallel_confident_cautious_confidentf,
1453,cond3,parallel_confident_cautious_confidentf,
1445,cond3,parallel_confident_cautious_confidentf,
1461,cond3,reverse_confident_cautious_confidentf,
1471,cond6,reverse_confident_cautious_confidentm,
1444,cond6,reverse_confident_cautious_confidentm,
1484,cond6,reverse_confident_cautious_confidentm,
1497,cond6,reverse_confident_cautious_confidentm,
1460,cond6,reverse_confident_cautious_confidentm,
1476,cond6,reverse_confident_cautious_confidentm,
1437,cond6,reverse_confident_cautious_confidentm,
1452,cond6,reverse_confident_cautious_confidentm,
1472,cond5,reverse_cautious_confident_confidentf,
1442,cond5,reverse_cautious_confident_confidentf,
1490,cond5,reverse_cautious_confident_confidentf,
1450,cond5,reverse_cautious_confident_confidentf,
1496,cond5,reverse_cautious_confident_confidentf,
1458,cond5,reverse_cautious_confident_confidentf,
1466,cond5,reverse_cautious_confident_confidentf,
1501,cond5,reverse_cautious_confident_confidentf,
1481,cond7,reverse_confident_cautious_confidentf,
1441,cond7,reverse_confident_cautious_confidentf,
1465,cond7,reverse_confident_cautious_confidentf,
1495,cond7,reverse_confident_cautious_confidentf,
1457,cond7,reverse_confident_cautious_confidentf,
1448,cond7,reverse_confident_cautious_confidentf,
1470,cond7,reverse_confident_cautious_confidentm,
1489,cond7,reverse_confident_cautious_confidentf,
1494,cond1,parallel_cautious_confident_confidentf,
1447,cond1,parallel_cautious_confident_confidentf,
1456,cond1,parallel_cautious_confident_confidentf,
1438,cond1,parallel_cautious_confident_confidentf,
1469,cond1,parallel_cautious_confident_confidentf,
1480,cond1,parallel_cautious_confident_confidentf,
1488,cond1,parallel_cautious_confident_confidentf,
1464,cond1,parallel_cautious_confident_confidentf,
1468,cond0,parallel_cautious_confident_confidentm,
1486,cond0,parallel_cautious_confident_confidentm,
1446,cond0,parallel_cautious_confident_confidentm,
1463,cond0,parallel_cautious_confident_confidentm,
1477,cond0,parallel_cautious_confident_confidentm,
1455,cond0,parallel_cautious_confident_confidentm,
1436,cond0,parallel_cautious_confident_confidentm,
1493,cond0,parallel_cautious_confident_confidentm,
1483,cond4,reverse_cautious_confident_confidentm,
1459,cond4,reverse_cautious_confident_confidentm,
1491,cond4,reverse_cautious_confident_confidentm,
1443,cond4,reverse_cautious_confident_confidentm,
1451,cond4,reverse_cautious_confident_confidentm,
1475,cond4,reverse_cautious_confident_confidentm,
1500,cond4,reverse_cautious_confident_confidentm,
1467,cond4,reverse_cautious_confident_confidentm,
